"","order","family","genus","species","binomial","diet.invertivore.tot","diet.carnivore.tot","diet.browser.tot","diet.grazer.tot","diet.piscivore.tot","diet.frugivore.tot","avg.mass","n.cont","continent.Africa","continent.North.America","continent.South.America","continent.Eurasia","continent.Australia","diet.breadth"
"1","Soricomorpha","Soricidae","Suncus","remyi","Suncus remyi",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.75,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"2","Soricomorpha","Soricidae","Suncus","etruscus","Suncus etruscus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.125,2,TRUE,FALSE,FALSE,TRUE,FALSE,1
"3","Soricomorpha","Soricidae","Crocidura","lusitania","Crocidura lusitania",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"4","Chiroptera","Vespertilionidae","Kerivoula","minuta","Kerivoula minuta",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.03,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"5","Chiroptera","Craseonycteridae","Craseonycteris","thonglongyai","Craseonycteris thonglongyai",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.153,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"6","Soricomorpha","Soricidae","Sorex","arizonae","Sorex arizonae",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.4,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"7","Soricomorpha","Soricidae","Sorex","nanus","Sorex nanus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.4,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"8","Chiroptera","Vespertilionidae","Pipistrellus","nanulus","Pipistrellus nanulus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"9","Soricomorpha","Soricidae","Crocidura","planiceps","Crocidura planiceps",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"10","Soricomorpha","Soricidae","Sorex","hoyi","Sorex hoyi",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.575,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"11","Soricomorpha","Soricidae","Sorex","minutissimus","Sorex minutissimus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.675,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"12","Chiroptera","Vespertilionidae","Hypsugo","bodenheimeri","Hypsugo bodenheimeri",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.7,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"13","Soricomorpha","Soricidae","Sorex","gaspensis","Sorex gaspensis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.89,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"14","Chiroptera","Vespertilionidae","Myotis","siligorensis","Myotis siligorensis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.955,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"15","Chiroptera","Vespertilionidae","Kerivoula","phalaena","Kerivoula phalaena",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"16","Soricomorpha","Soricidae","Suncus","infinitesimus","Suncus infinitesimus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"17","Soricomorpha","Soricidae","Sorex","preblei","Sorex preblei",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.1,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"18","Chiroptera","Thyropteridae","Thyroptera","discifera","Thyroptera discifera",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.1,2,FALSE,TRUE,TRUE,FALSE,FALSE,1
"19","Chiroptera","Vespertilionidae","Hypsugo","arabicus","Hypsugo arabicus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.17,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"20","Soricomorpha","Soricidae","Sylvisorex","johnstoni","Sylvisorex johnstoni",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.17,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"21","Chiroptera","Furipteridae","Furipterus","horrens","Furipterus horrens",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.177,2,FALSE,TRUE,TRUE,FALSE,FALSE,1
"22","Chiroptera","Vespertilionidae","Kerivoula","whiteheadi","Kerivoula whiteheadi",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.29,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"23","Chiroptera","Vespertilionidae","Myotis","rosseti","Myotis rosseti",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.29,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"24","Chiroptera","Furipteridae","Amorphochilus","schnablii","Amorphochilus schnablii",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.3,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"25","Chiroptera","Emballonuridae","Saccopteryx","canescens","Saccopteryx canescens",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.375,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"26","Soricomorpha","Soricidae","Sylvisorex","vulcanorum","Sylvisorex vulcanorum",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"27","Chiroptera","Vespertilionidae","Myotis","nesopolus","Myotis nesopolus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.5,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"28","Soricomorpha","Soricidae","Sorex","haydeni","Sorex haydeni",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.5,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"29","Soricomorpha","Soricidae","Crocidura","bottegi","Crocidura bottegi",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"30","Chiroptera","Vespertilionidae","Kerivoula","intermedia","Kerivoula intermedia",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.55,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"31","Soricomorpha","Soricidae","Sorex","longirostris","Sorex longirostris",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.575,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"32","Chiroptera","Vespertilionidae","Tylonycteris","pachypus","Tylonycteris pachypus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.58,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"33","Soricomorpha","Soricidae","Sorex","ugyunak","Sorex ugyunak",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.6,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"34","Chiroptera","Vespertilionidae","Rhogeessa","minutilla","Rhogeessa minutilla",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.65,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"35","Chiroptera","Vespertilionidae","Pipistrellus","hesperus","Pipistrellus hesperus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.7,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"36","Soricomorpha","Soricidae","Sorex","tenellus","Sorex tenellus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.75,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"37","Soricomorpha","Soricidae","Sorex","trowbridgii","Sorex trowbridgii",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.8,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"38","Chiroptera","Vespertilionidae","Neoromicia","somalicus","Neoromicia somalicus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.8,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"39","Chiroptera","Vespertilionidae","Vespadelus","vulturnus","Vespadelus vulturnus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.815,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"40","Chiroptera","Vespertilionidae","Neoromicia","nanus","Neoromicia nanus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.886,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"41","Soricomorpha","Soricidae","Crocidura","fuscomurina","Crocidura fuscomurina",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.917,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"42","Rodentia","Dipodidae","Salpingotulus","michaelis","Salpingotulus michaelis",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3.92,1,FALSE,FALSE,FALSE,TRUE,FALSE,2
"43","Chiroptera","Hipposideridae","Hipposideros","halophyllus","Hipposideros halophyllus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"44","Chiroptera","Vespertilionidae","Murina","suilla","Murina suilla",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"45","Chiroptera","Vespertilionidae","Myotis","ridleyi","Myotis ridleyi",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"46","Chiroptera","Vespertilionidae","Pipistrellus","tenuis","Pipistrellus tenuis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"47","Chiroptera","Emballonuridae","Saccopteryx","gymnura","Saccopteryx gymnura",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"48","Soricomorpha","Soricidae","Crocidura","obscurior","Crocidura obscurior",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"49","Soricomorpha","Soricidae","Sylvisorex","granti","Sylvisorex granti",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"50","Chiroptera","Hipposideridae","Cloeotis","percivali","Cloeotis percivali",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.05,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"51","Chiroptera","Vespertilionidae","Myotis","elegans","Myotis elegans",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.05,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"52","Chiroptera","Vespertilionidae","Kerivoula","pellucida","Kerivoula pellucida",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.1,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"53","Chiroptera","Hipposideridae","Hipposideros","doriae","Hipposideros doriae",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.2,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"54","Chiroptera","Emballonuridae","Rhynchonycteris","naso","Rhynchonycteris naso",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.207,2,FALSE,TRUE,TRUE,FALSE,FALSE,1
"55","Chiroptera","Vespertilionidae","Myotis","nigricans","Myotis nigricans",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.24,2,FALSE,TRUE,TRUE,FALSE,FALSE,1
"56","Dasyuromorphia","Dasyuridae","Planigale","ingrami","Planigale ingrami",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.25,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"57","Chiroptera","Vespertilionidae","Murina","florium","Murina florium",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.25,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"58","Chiroptera","Emballonuridae","Balantiopteryx","io","Balantiopteryx io",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.3,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"59","Soricomorpha","Soricidae","Crocidura","douceti","Crocidura douceti",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.3,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"60","Soricomorpha","Soricidae","Sylvisorex","howelli","Sylvisorex howelli",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.317,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"61","Chiroptera","Vespertilionidae","Nyctophilus","walkeri","Nyctophilus walkeri",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.335,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"62","Chiroptera","Vespertilionidae","Myotis","fortidens","Myotis fortidens",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.35,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"63","Chiroptera","Vespertilionidae","Rhogeessa","parvula","Rhogeessa parvula",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.35,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"64","Chiroptera","Thyropteridae","Thyroptera","tricolor","Thyroptera tricolor",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.356,2,FALSE,TRUE,TRUE,FALSE,FALSE,1
"65","Chiroptera","Emballonuridae","Balantiopteryx","infusca","Balantiopteryx infusca",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.375,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"66","Soricomorpha","Soricidae","Notiosorex","crawfordi","Notiosorex crawfordi",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.393,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"67","Chiroptera","Vespertilionidae","Glischropus","tylopus","Glischropus tylopus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.438,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"68","Chiroptera","Vespertilionidae","Rhogeessa","tumida","Rhogeessa tumida",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.45,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"69","Chiroptera","Vespertilionidae","Myotis","muricola","Myotis muricola",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.467,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"70","Soricomorpha","Soricidae","Sorex","minutus","Sorex minutus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"71","Chiroptera","Vespertilionidae","Kerivoula","picta","Kerivoula picta",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"72","Chiroptera","Vespertilionidae","Scotoecus","albofuscus","Scotoecus albofuscus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"73","Soricomorpha","Soricidae","Crocidura","shantungensis","Crocidura shantungensis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"74","Chiroptera","Vespertilionidae","Kerivoula","hardwickii","Kerivoula hardwickii",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.53,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"75","Chiroptera","Vespertilionidae","Pipistrellus","rusticus","Pipistrellus rusticus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.55,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"76","Chiroptera","Vespertilionidae","Pipistrellus","coromandra","Pipistrellus coromandra",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.6,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"77","Chiroptera","Vespertilionidae","Myotis","californicus","Myotis californicus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.6,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"78","Chiroptera","Vespertilionidae","Pipistrellus","anchietae","Pipistrellus anchietae",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.6,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"79","Soricomorpha","Soricidae","Sorex","saussurei","Sorex saussurei",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.65,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"80","Soricomorpha","Soricidae","Suncus","megalura","Suncus megalura",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.65,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"81","Soricomorpha","Soricidae","Sorex","cinereus","Sorex cinereus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.658,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"82","Rodentia","Cricetidae","Neusticomys","oyapocki","Neusticomys oyapocki",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4.7,1,FALSE,FALSE,TRUE,FALSE,FALSE,2
"83","Chiroptera","Rhinolophidae","Rhinolophus","hipposideros","Rhinolophus hipposideros",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.709,2,TRUE,FALSE,FALSE,TRUE,FALSE,1
"84","Chiroptera","Vespertilionidae","Phoniscus","atrox","Phoniscus atrox",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.825,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"85","Chiroptera","Vespertilionidae","Myotis","ciliolabrum","Myotis ciliolabrum",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.89,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"86","Chiroptera","Hipposideridae","Aselliscus","stoliczkanus","Aselliscus stoliczkanus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.9,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"87","Soricomorpha","Soricidae","Suncus","lixus","Suncus lixus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.9,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
