"genus","cont","phyl.age","fossil.age"
"Abrawayaomys",1,2.300529515,NA
"Abrocoma",1,20.0235186572,NA
"Abrothrix",1,6.97478281559994,3.6
"Acinonyx",2,4.1627041455,5.332
"Acomys",2,15.4388840883,23.03
"Aconaemys",1,5.90556955865,NA
"Acrobates",1,25.09999654,2.588
"Addax",1,2.9340096755,NA
"Aepeomys",1,5.94613766495496,NA
"Aepyceros",1,8.7066750845,23.03
"Aepyprymnus",1,6.9561843495,23.03
"Aeretes",1,1.1746900903,NA
"Aeromys",1,1.80838585979999,NA
"Aethalops",1,2.43183460199999,NA
"Aethomys",1,8.77168637825501,7.246
"Agalmaceros",1,1.0675208067,2.588
"Ailuropoda",1,17.19999763,3.6
"Ailurus",1,31.04999572,NA
"Akodon",1,6.5056346672,2.588
"Alcelaphus",1,0.97796302175,5.332
"Alces",1,12.19142087361,11.608
"Allactaga",1,19.32962053485,5.332
"Allactodipus",1,20.95759568,NA
"Allenopithecus",1,6.327949443,NA
"Allocricetulus",1,6.92768645279494,NA
"Alouatta",2,16.13001903145,0.126
"Alticola",1,8.22137218250003,2.588
"Amblysomus",1,3.93656011400002,5.332
"Ametrida",2,0.1822049331,NA
"Ammodillus",1,5.766309981,NA
"Ammodorcas",1,3.71051511,NA
"Ammospermophilus",1,16.46399169595,17.4
"Ammotragus",1,1.760124544,NA
"Amorphochilus",1,11.49999842,NA
"Amphinectomys",1,1.8418645335,NA
"Anathana",1,14.69339862,NA
"Andalgalomys",1,3.93704951995003,NA
"Andinomys",1,7.186327988,2.588
"Anomalurus",1,36.2906808812,15.97
"Anotomys",1,6.5941601515,NA
"Anoura",2,14.08568590894,NA
"Anourosorex",1,26.3776556915,8.7
"Antechinomys",1,14.313198655,2.588
"Antechinus",1,11.09811321795,5.332
"Antidorcas",1,3.51882421866495,23.03
"Antifer",1,1.995169482,3.6
"Antilocapra",1,10.616965437,4.9
"Antilope",1,4.3845688885,23.03
"Antrozous",1,7.7069654805,17.3
"Aonyx",1,6.57759920953496,7.246
"Aotus",2,19.2500274054,16.3
"Aplodontia",1,49.11999324,0.126
"Apodemus",2,7.51817531960003,23.03
"Arborimus",1,6.72536245491497,NA
"Arctictis",1,14.17899863,NA
"Arctocebus",1,18.49188677145,NA
"Arctocephalus",1,7.84762910076999,3.6
"Arctodus",1,4.3682500955,4.9
"Arctogalidia",1,18.31810121,NA
"Arctonyx",1,5.5511844525,2.588
"Arctotherium",1,4.36824514398493,4.9
"Arielulus",1,10.096070414755,NA
"Artibeus",2,4.87301050251495,0.126
"Arvicanthis",2,4.07287944242994,11.608
"Arvicola",1,9.24923908225997,5.332
"Asellia",2,20.48395624245,20.43
"Aselliscus",1,18.53779481465,NA
"Atelerix",1,9.77124570290001,11.1
"Ateles",1,13.61068645845,0.012
"Atelocynus",1,1.2858150015,NA
"Atherurus",1,23.4459264255,2.588
"Atilax",1,3.9497502715,7.246
"Atlantoxerus",1,9.3004867075,23.03
"Auliscomys",1,2.48872701285493,6.8
"Axis",1,6.61320565202497,5.332
"Aztlanolagus",1,6.5169791025,3
"Baiomys",1,9.46028745535498,7.3
"Balantiopteryx",2,26.87217766055,0.126
"Balionycteris",1,2.4318350625,NA
"Bandicota",1,4.24510438193503,NA
"Barbastella",1,17.27378259145,0.781
"Bassaricyon",2,10.42296740835,0.012
"Bassariscus",1,9.84244123108992,23.03
"Bathyergus",1,12.70428745575,7.246
"Bauerus",2,7.7069654805,NA
"Bdeogale",1,2.31930885061436,0.012
"Beamys",1,9.537274469,NA
"Beatragus",1,1.445789684,5.332
"Belomys",1,1.0456993562,0.781
"Berylmys",1,8.76933826429995,NA
"Bettongia",1,7.57413501004995,2.588
"Bibimys",1,5.68148586463993,NA
"Bison",2,5.90133838668996,5.332
"Biswamoyopterus",1,1.0456993562,NA
"Blanfordimys",1,3.17394061122501,NA
"Blarina",1,16.01313248005,4.9
"Blarinella",1,22.678602323,8.7
"Blarinomys",1,2.906410046,NA
"Blastocerus",1,2.0786597135,2.588
"Bootherium",1,1.813259834,2.588
"Bos",2,5.90133838668996,3.6
"Boselaphus",1,4.0672044395,0.126
"Brachiones",1,7.636214189,NA
"Brachylagus",1,7.7003330455,0.8
"Brachyprotoma",1,5.406194496,0.9
"Brachyteles",1,10.6426203915,NA
"Bradypus",2,22.200026991,0.012
"Brucepattersonius",1,2.90640624279994,NA
"Bubalus",1,3.71795512598998,3.6
"Budorcas",1,2.032409804,0.126
"Bunolagus",1,7.178699119,NA
"Bunopithecus",1,NA,NA
"Burramys",1,34.79999521,28.4
"Cabassous",2,14.55162739325,2.588
"Cacajao",1,12.744681874,NA
"Caenolestes",1,11.660028451,NA
"Caipora",1,3.4808791125,NA
"Calcochloris",1,4.50667936294999,NA
"Callicebus",1,17.938243319,0.012
"Callimico",1,11.136848935,0.012
"Callistomys",1,2.3295244115,NA
"Callithrix",1,11.07544519436,0.012
"Callorhinus",1,8.099998885,5.332
