"order","family","genus","species","binomial","habitat.mode","diet.invertivore.tot","diet.carnivore.tot","diet.browser.tot","diet.grazer.tot","diet.piscivore.tot","diet.frugivore.tot","avg.mass","n.cont","iucn","continent.Africa","continent.North.America","continent.South.America","continent.Eurasia","continent.Australia","diet.breadth","family.origin","Max_longevity_d","Rspan_d","AFR_d","Calculated_GL_d","GenerationLength_d","accepted_name","lw.range","hi.range","foss.age","age.median","current.range","present.natural.range","current.range.km2","present.natural.range.km2","home.range.km2","gr.area.km2","indiv.home.range.km2","dispersal.age.d","log.mass","log.size.bin","qtr.bin"
"Afrosoricida","Chrysochloridae","Amblysomus","corriae","Amblysomus corriae","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"1","NT",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,0.50934898015,16,16,148997.895786289,148997.895786289,NA,47134.97,NA,NA,NA,NA,NA
"Afrosoricida","Chrysochloridae","Amblysomus","hottentotus","Amblysomus hottentotus","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48.3,"1","LC",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","365","no information","no information","no information",1036.557583,NA,NA,NA,NA,1.1556000215,42,42,391119.476439007,391119.476439007,0.000334,256161.76,0.000463,NA,1.68394713075151,1,"(1.5,1.75]"
"Afrosoricida","Chrysochloridae","Amblysomus","marleyi","Amblysomus marleyi","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"1","EN",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,0.96164037065,4,4,37249.4739465721,37249.4739465721,NA,952.47,NA,NA,NA,NA,NA
"Afrosoricida","Chrysochloridae","Amblysomus","robustus","Amblysomus robustus","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10000,"1","VU",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,0.53035909735,5,5,46561.8424332152,46561.8424332152,NA,3194.91,NA,NA,4,4,"(3.75,4]"
"Afrosoricida","Chrysochloridae","Amblysomus","septentrionalis","Amblysomus septentrionalis","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"1","NT",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,0.5123544645,15,15,139685.527299646,139685.527299646,NA,32027.78,NA,NA,NA,NA,NA
"Afrosoricida","Chrysochloridae","Calcochloris","leucorhinus","Calcochloris leucorhinus","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"1","DD",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290660.2,NA,NA,NA,NA,NA
"Afrosoricida","Chrysochloridae","Calcochloris","obtusirostris","Calcochloris obtusirostris","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,24.05,"1","LC",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,1.3367101535,28,28,260746.317626005,260746.317626005,NA,209272.42,NA,NA,1.38111508070985,1,"(1.25,1.5]"
"Afrosoricida","Chrysochloridae","Calcochloris","tytonis","Calcochloris tytonis","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"1","DD",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,1.3367101535,1,1,9312.36848664304,9312.36848664304,NA,47.65,NA,NA,NA,NA,NA
"Afrosoricida","Chrysochloridae","Carpitalpa","arendsi","Carpitalpa arendsi","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,52.35,"1","VU",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,2.579425474,8,8,74498.9478931443,74498.9478931443,NA,40698.67,NA,NA,1.71891668601486,1,"(1.5,1.75]"
"Afrosoricida","Chrysochloridae","Chlorotalpa","duthieae","Chlorotalpa duthieae","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41,"1","VU",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,0.89304540185,4,4,37249.4739465721,37249.4739465721,NA,20651.08,NA,NA,1.61278385671974,1,"(1.5,1.75]"
"Afrosoricida","Chrysochloridae","Chlorotalpa","sclateri","Chlorotalpa sclateri","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41,"1","LC",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,0.89304540185,29,29,270058.686112648,270058.686112648,NA,352293.84,NA,NA,1.61278385671974,1,"(1.5,1.75]"
"Afrosoricida","Chrysochloridae","Chrysochloris","asiatica","Chrysochloris asiatica","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,49,"1","LC",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,4.0886846145,15,15,139685.527299646,139685.527299646,NA,145686.02,NA,NA,1.69019608002851,1,"(1.5,1.75]"
"Afrosoricida","Chrysochloridae","Chrysochloris","stuhlmanni","Chrysochloris stuhlmanni","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,39.8,"1","LC",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,4.089674249,44,44,409744.213412294,409744.213412294,NA,252891.64,NA,NA,1.59988307207369,1,"(1.5,1.75]"
"Afrosoricida","Chrysochloridae","Chrysochloris","visagiei","Chrysochloris visagiei","terr- fossorial",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30,"1","DD",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1036.557583,NA,NA,NA,NA,1.573070036,1,1,9312.36848664304,9312.36848664304,NA,137.09,NA,NA,1.47712125471966,1,"(1.25,1.5]"
