"","order","family","genus","species","binomial","diet.invertivore.tot","diet.carnivore.tot","diet.browser.tot","diet.grazer.tot","diet.piscivore.tot","diet.frugivore.tot","avg.mass","n.cont","continent.Africa","continent.North.America","continent.South.America","continent.Eurasia","continent.Australia","diet.breadth"
"1","Soricomorpha","Soricidae","Suncus","remyi","Suncus remyi",1,0,0,0,0,0,1.75,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"2","Soricomorpha","Soricidae","Suncus","etruscus","Suncus etruscus",2,0,0,0,0,0,2.125,2,TRUE,FALSE,FALSE,TRUE,FALSE,2
"3","Soricomorpha","Soricidae","Crocidura","lusitania","Crocidura lusitania",1,0,0,0,0,0,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"4","Chiroptera","Vespertilionidae","Kerivoula","minuta","Kerivoula minuta",1,0,0,0,0,0,2.03,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"5","Chiroptera","Craseonycteridae","Craseonycteris","thonglongyai","Craseonycteris thonglongyai",1,0,0,0,0,0,2.153,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"6","Soricomorpha","Soricidae","Sorex","arizonae","Sorex arizonae",1,0,0,0,0,0,2.4,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"7","Soricomorpha","Soricidae","Sorex","nanus","Sorex nanus",1,0,0,0,0,0,2.4,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"8","Chiroptera","Vespertilionidae","Pipistrellus","nanulus","Pipistrellus nanulus",1,0,0,0,0,0,2.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"9","Soricomorpha","Soricidae","Crocidura","planiceps","Crocidura planiceps",1,0,0,0,0,0,2.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"10","Soricomorpha","Soricidae","Sorex","hoyi","Sorex hoyi",1,0,0,0,0,0,2.575,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"11","Soricomorpha","Soricidae","Sorex","minutissimus","Sorex minutissimus",1,0,0,0,0,0,2.675,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"12","Chiroptera","Vespertilionidae","Hypsugo","bodenheimeri","Hypsugo bodenheimeri",1,0,0,0,0,0,2.7,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"13","Soricomorpha","Soricidae","Sorex","gaspensis","Sorex gaspensis",1,0,0,0,0,0,2.89,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"14","Chiroptera","Vespertilionidae","Myotis","siligorensis","Myotis siligorensis",1,0,0,0,0,0,2.955,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"15","Chiroptera","Vespertilionidae","Kerivoula","phalaena","Kerivoula phalaena",1,0,0,0,0,0,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"16","Soricomorpha","Soricidae","Suncus","infinitesimus","Suncus infinitesimus",1,0,0,0,0,0,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"17","Soricomorpha","Soricidae","Sorex","preblei","Sorex preblei",1,0,0,0,0,0,3.1,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"18","Chiroptera","Thyropteridae","Thyroptera","discifera","Thyroptera discifera",2,0,0,0,0,0,3.1,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"19","Chiroptera","Vespertilionidae","Hypsugo","arabicus","Hypsugo arabicus",1,0,0,0,0,0,3.17,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"20","Soricomorpha","Soricidae","Sylvisorex","johnstoni","Sylvisorex johnstoni",1,0,0,0,0,0,3.17,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"21","Chiroptera","Furipteridae","Furipterus","horrens","Furipterus horrens",2,0,0,0,0,0,3.177,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"22","Chiroptera","Vespertilionidae","Kerivoula","whiteheadi","Kerivoula whiteheadi",1,0,0,0,0,0,3.29,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"23","Chiroptera","Vespertilionidae","Myotis","rosseti","Myotis rosseti",1,0,0,0,0,0,3.29,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"24","Chiroptera","Furipteridae","Amorphochilus","schnablii","Amorphochilus schnablii",1,0,0,0,0,0,3.3,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"25","Chiroptera","Emballonuridae","Saccopteryx","canescens","Saccopteryx canescens",1,0,0,0,0,0,3.375,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"26","Soricomorpha","Soricidae","Sylvisorex","vulcanorum","Sylvisorex vulcanorum",1,0,0,0,0,0,3.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"27","Chiroptera","Vespertilionidae","Myotis","nesopolus","Myotis nesopolus",1,0,0,0,0,0,3.5,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"28","Soricomorpha","Soricidae","Sorex","haydeni","Sorex haydeni",1,0,0,0,0,0,3.5,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"29","Soricomorpha","Soricidae","Crocidura","bottegi","Crocidura bottegi",1,0,0,0,0,0,3.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"30","Chiroptera","Vespertilionidae","Kerivoula","intermedia","Kerivoula intermedia",1,0,0,0,0,0,3.55,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"31","Soricomorpha","Soricidae","Sorex","longirostris","Sorex longirostris",1,0,0,0,0,0,3.575,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"32","Chiroptera","Vespertilionidae","Tylonycteris","pachypus","Tylonycteris pachypus",1,0,0,0,0,0,3.58,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"33","Soricomorpha","Soricidae","Sorex","ugyunak","Sorex ugyunak",1,0,0,0,0,0,3.6,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"34","Chiroptera","Vespertilionidae","Rhogeessa","minutilla","Rhogeessa minutilla",1,0,0,0,0,0,3.65,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"35","Chiroptera","Vespertilionidae","Pipistrellus","hesperus","Pipistrellus hesperus",1,0,0,0,0,0,3.7,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"36","Soricomorpha","Soricidae","Sorex","tenellus","Sorex tenellus",1,0,0,0,0,0,3.75,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"37","Soricomorpha","Soricidae","Sorex","trowbridgii","Sorex trowbridgii",1,0,0,0,0,0,3.8,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"38","Chiroptera","Vespertilionidae","Neoromicia","somalicus","Neoromicia somalicus",1,0,0,0,0,0,3.8,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"39","Chiroptera","Vespertilionidae","Vespadelus","vulturnus","Vespadelus vulturnus",1,0,0,0,0,0,3.815,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"40","Chiroptera","Vespertilionidae","Neoromicia","nanus","Neoromicia nanus",1,0,0,0,0,0,3.886,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"41","Soricomorpha","Soricidae","Crocidura","fuscomurina","Crocidura fuscomurina",1,0,0,0,0,0,3.917,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"42","Rodentia","Dipodidae","Salpingotulus","michaelis","Salpingotulus michaelis",0,0,1,0,0,1,3.92,1,FALSE,FALSE,FALSE,TRUE,FALSE,2
"43","Chiroptera","Hipposideridae","Hipposideros","halophyllus","Hipposideros halophyllus",1,0,0,0,0,0,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"44","Chiroptera","Vespertilionidae","Murina","suilla","Murina suilla",1,0,0,0,0,0,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"45","Chiroptera","Vespertilionidae","Myotis","ridleyi","Myotis ridleyi",1,0,0,0,0,0,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"46","Chiroptera","Vespertilionidae","Pipistrellus","tenuis","Pipistrellus tenuis",1,0,0,0,0,0,4,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"47","Chiroptera","Emballonuridae","Saccopteryx","gymnura","Saccopteryx gymnura",1,0,0,0,0,0,4,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"48","Soricomorpha","Soricidae","Crocidura","obscurior","Crocidura obscurior",1,0,0,0,0,0,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"49","Soricomorpha","Soricidae","Sylvisorex","granti","Sylvisorex granti",1,0,0,0,0,0,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"50","Chiroptera","Hipposideridae","Cloeotis","percivali","Cloeotis percivali",1,0,0,0,0,0,4.05,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"51","Chiroptera","Vespertilionidae","Myotis","elegans","Myotis elegans",1,0,0,0,0,0,4.05,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"52","Chiroptera","Vespertilionidae","Kerivoula","pellucida","Kerivoula pellucida",1,0,0,0,0,0,4.1,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"53","Chiroptera","Hipposideridae","Hipposideros","doriae","Hipposideros doriae",1,0,0,0,0,0,4.2,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"54","Chiroptera","Emballonuridae","Rhynchonycteris","naso","Rhynchonycteris naso",2,0,0,0,0,0,4.207,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
