"","index","order","family","genus","species","binomial","taxonomy.ref","distribution","continent","mass","mass.ref","mass.status","iucn.status","year.evaluated","extant.status","last.occurence.ka","last.occurence.ref","time.of.extinction","trophic","trophic.ref","habitat.mode","lab.comments","to.do","old.distribution","X"
"1",6664,"Soricomorpha","Soricidae","Suncus","remyi","Suncus remyi","1","Rain forest in Gabon, Central African Republic, Republic of Congo.","Africa",1.75,"226, 244","valid","LC",2008,"extant","","","","ginsect","t1","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"2",6646,"Soricomorpha","Soricidae","Suncus","etruscus","Suncus etruscus","1","S Europe and N Africa (Morocco, Algeria, Tunisia, Egypt); Arabian Peninsula and Asia Minor to Iraq, Turkmenistan, Afghanistan, Pakistan, Nepal, Bhutan, Burma, Thailand, Laos, Vietnam and Yunnan (China); also India and Sri Lanka. West and East African records (Guinea, Nigeria, Ethiopia) are doubtful and need confirmation.","Africa",1.9,"64, 130","valid","LC",2016,"extant","","","","ginsect","t1","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"3",6388,"Soricomorpha","Soricidae","Crocidura","lusitania","Crocidura lusitania","1","Sahelian zone from S Morocco to Senegal, Mauritania, Mali, Nigeria, Sudan and Ethiopia; a Saharan record from Mali.","Africa",2,"60, 163","valid","LC",2008,"extant","","","","ginsect","t1","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"4",2106,"Chiroptera","Vespertilionidae","Kerivoula","minuta","Kerivoula minuta","1","W Malaysia, S Thailand, Borneo.","Eurasia",2.03,"153","","NT",2008,"extant","","","","Ainsect","same as congeners","volant","","","Malaysia, Thailand, Borneo",NA
"5",914,"Chiroptera","Craseonycteridae","Craseonycteris","thonglongyai","Craseonycteris thonglongyai","1","Thailand, Burma","Eurasia",2.153,"153","valid","VU",2008,"extant","","","","Ginsect","t7","volant","","","Thailand",NA
"6",6647,"Soricomorpha","Soricidae","Suncus","etruscus","Suncus etruscus","1","S Europe and N Africa (Morocco, Algeria, Tunisia, Egypt); Arabian Peninsula and Asia Minor to Iraq, Turkmenistan, Afghanistan, Pakistan, Nepal, Bhutan, Burma, Thailand, Laos, Vietnam and Yunnan (China); also India and Sri Lanka. West and East African records (Guinea, Nigeria, Ethiopia) are doubtful and need confirmation.","Eurasia",2.35,"111, 114","valid","LC",2016,"extant","","","","ginsect","t1","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"7",6560,"Soricomorpha","Soricidae","Sorex","arizonae","Sorex arizonae","1","Disjunct mountains in SE Arizona and SW New Mexico (USA; see Conway and Schmitt, 1978 and Hoffmeister, 1986); one specimen from Sierra Madre Occidental of Chihuahua (Mexico; see Caire et al., 1978).","North.America",2.4,"60","valid","LC",2008,"extant","","","","Ginsect","t2","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"8",6604,"Soricomorpha","Soricidae","Sorex","nanus","Sorex nanus","1","Rocky Mountains from Montana to New Mexico; South Dakota; Arizona (USA).","North.America",2.4,"60","valid","LC",2008,"extant","","","","Ginsect","t2","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
"9",2433,"Chiroptera","Vespertilionidae","Pipistrellus","nanulus","Pipistrellus nanulus","1","Sierra Leone and CÙte díIvoire to Kenya; Bioko (Equatorial Guinea).","Africa",2.5,"153","","LC",2008,"extant","","","","ainsect","t1","volant","","","Sierra Leone, Kenya, Bioko",NA
"10",6432,"Soricomorpha","Soricidae","Crocidura","planiceps","Crocidura planiceps","1","Ethiopia, Uganda, Sudan, Dem. Rep. Congo, Nigeria.","Africa",2.5,"60, 163, 130","valid","DD",2016,"extant","","","","ginsect","t1","terr","Discarded order; was Insectivora now Soricopmorpha","","",NA
