family,final.continent,continent,continent_reference,first origin time (mya),time_reference,notes,,,,,
Abrocomidae,South.America,South America,1,,,,,,,,
Acrobatidae,Australia,Australia,2,,,,,,,,
Ailuridae,Eurasia,Europe,3,,,,,,,,
Anomaluridae,Africa,Africa,4,,,,,,,,
Antilocapridae,North.America,North America,5,,,,,,,,
Aotidae,South.America,South America,6,,,,,,,,
Aplodontiidae,Eurasia,Eurasia,7,,,,,,,,
Archaeolemuridae,Insular,Insular Madagascar,8,,,,,,,,
Atelidae,South.America,South America,9,,,,,,,,
Balaenidae,Marine,Marine,,20-22,1,"oldest fossil from Patagonia; 20-22 MYA; Fordyce, R.E. and de MUIZON, C., 2001. Evolutionary history of cetaceans: a review. Secondary adaptation of tetrapods to life in water, pp.169-233.",,,,,
Balaenopteridae,Marine,Marine,,10-12,1,,,,,,
Bathyergidae,Africa,Africa,10,,,,,,,,
Bovidae,Eurasia,Eurasia,11,,,,,,,,
Bradypodidae,South.America,South America,12,,,,,,,,
Burramyidae,Australia,Australia,2,25.715,37,,,,,,
Caenolestidae,,Americas,2,,,,,,,,
Calomyscidae,Eurasia,Eurasia,13,,,,,,,,
Camelidae,North.America,North America,14,40-45,2,,,,,,
Canidae,North.America,North America,15,,,,,,,,
Capromyidae,Insular,Insular,16,,,Caribbean,,,,,
Castoridae,North.America,North America,17,Latest Eocene,,,,,,,
Caviidae,South.America,South America,18,,,,,,,,
Cebidae,South.America,South America,9,,,,,,,,
Cercopithecidae,Africa,Africa,19,,,,,,,,
Cervidae,Eurasia,Eurasia,20,late Miocene,,,,,,,
Chaeropodidae,Australia,Australia,21,26,,,,,,,
Cheirogaleidae,Insular,Insular,8,,,Madagascar,,,,,
Chinchillidae,South.America,South America,22,,,,,,,,
Chrysochloridae,Africa,Africa,23,,,,,,,,
Craseonycteridae,Eurasia,Eurasia,24,,,,,,,,
Cricetidae,Eurasia,Eurasia,25,,,,,,,,
Ctenodactylidae,Eurasia,Eurasia,"26
",Palaeogene,"3
",,,,,,
Ctenomyidae,South.America,South America,27,,,,,,,,
Cuniculidae,South.America,South America,28,,,,,,,,
Cyclopedidae,South.America,South America,29,,,,,,,,
Cynocephalidae,Eurasia,Eurasia,30,,,,,,,,
Dasypodidae,South.America,South America,31,,,,,,,,
Dasyproctidae,South.America,South America,"32
",,,,,,,,
Dasyuridae,Australia,Australia,33,19.5,37,,,,,,
Daubentoniidae,Insular,Insular,8,,,Madagascar,,,,,
Delphinidae,Marine,Atlantic,34,4,4,,,,,,
Didelphidae,South.America,South America,33,,,,,,,,
Dinomyidae,South.America,South America,35,,,,,,,,
