family,count,onMult,glob.proportion,onMult.proportion,p.value,signif,signif.bonferoni,signif.holm,signif.sidak,signif.holm.sidak
Phyllostomidae,146,64,0.032986896,0.230215827,1.01E-34,TRUE,TRUE,TRUE,TRUE,TRUE
Molossidae,83,22,0.018752824,0.079136691,2.25E-08,TRUE,TRUE,TRUE,TRUE,TRUE
Emballonuridae,39,14,0.008811568,0.050359712,2.63E-07,TRUE,TRUE,TRUE,TRUE,TRUE
Felidae,42,14,0.009489381,0.050359712,6.29E-07,TRUE,TRUE,TRUE,TRUE,TRUE
Mormoopidae,5,5,0.001129688,0.017985612,1.90E-05,TRUE,TRUE,TRUE,TRUE,TRUE
Procyonidae,14,5,0.003163127,0.017985612,0.002071853,TRUE,FALSE,FALSE,FALSE,FALSE
Mustelidae,53,10,0.011974695,0.035971223,0.002169235,TRUE,FALSE,FALSE,FALSE,FALSE
Canidae,42,8,0.009489381,0.028776978,0.005539782,TRUE,FALSE,FALSE,FALSE,FALSE
Noctilionidae,2,2,0.000451875,0.007194245,0.007237773,TRUE,FALSE,FALSE,FALSE,FALSE
Myrmecophagidae,3,2,0.000677813,0.007194245,0.015630121,TRUE,FALSE,FALSE,FALSE,FALSE
Thyropteridae,3,2,0.000677813,0.007194245,0.015630121,TRUE,FALSE,FALSE,FALSE,FALSE
Hyaenidae,4,2,0.000903751,0.007194245,0.026675217,TRUE,FALSE,FALSE,FALSE,FALSE
Rhinopomatidae,4,2,0.000903751,0.007194245,0.026675217,TRUE,FALSE,FALSE,FALSE,FALSE
Tayassuidae,6,2,0.001355626,0.007194245,0.055349003,FALSE,FALSE,FALSE,FALSE,FALSE
Cyclopedidae,1,1,0.000225938,0.003597122,0.060885399,FALSE,FALSE,FALSE,FALSE,FALSE
Rhinocerotidae,8,2,0.001807501,0.007194245,0.090821619,FALSE,FALSE,FALSE,FALSE,FALSE
Hippopotamidae,2,1,0.000451875,0.003597122,0.118076287,FALSE,FALSE,FALSE,FALSE,FALSE
Furipteridae,2,1,0.000451875,0.003597122,0.118076287,FALSE,FALSE,FALSE,FALSE,FALSE
Cuniculidae,2,1,0.000451875,0.003597122,0.118076287,FALSE,FALSE,FALSE,FALSE,FALSE
Hipposideridae,53,6,0.011974695,0.021582734,0.119401084,FALSE,FALSE,FALSE,FALSE,FALSE
Bradypodidae,3,1,0.000677813,0.003597122,0.171796086,FALSE,FALSE,FALSE,FALSE,FALSE
Vespertilionidae,330,25,0.074559422,0.089928058,0.192019142,FALSE,FALSE,FALSE,FALSE,FALSE
Procaviidae,4,1,0.000903751,0.003597122,0.222254754,FALSE,FALSE,FALSE,FALSE,FALSE
Megatheriidae,4,1,0.000903751,0.003597122,0.222254754,FALSE,FALSE,FALSE,FALSE,FALSE
Ursidae,15,2,0.003389065,0.007194245,0.24293871,FALSE,FALSE,FALSE,FALSE,FALSE
Megalonychidae,6,1,0.001355626,0.003597122,0.314165998,FALSE,FALSE,FALSE,FALSE,FALSE
Rhinolophidae,60,5,0.013556258,0.017985612,0.325756005,FALSE,FALSE,FALSE,FALSE,FALSE
Elephantidae,7,1,0.001581563,0.003597122,0.355978201,FALSE,FALSE,FALSE,FALSE,FALSE
Hystricidae,7,1,0.001581563,0.003597122,0.355978201,FALSE,FALSE,FALSE,FALSE,FALSE
Tapiridae,7,1,0.001581563,0.003597122,0.355978201,FALSE,FALSE,FALSE,FALSE,FALSE
Aotidae,8,1,0.001807501,0.003597122,0.395249912,FALSE,FALSE,FALSE,FALSE,FALSE
Cervidae,53,4,0.011974695,0.014388489,0.426487264,FALSE,FALSE,FALSE,FALSE,FALSE
Mephitidae,10,1,0.002259376,0.003597122,0.466777918,FALSE,FALSE,FALSE,FALSE,FALSE
Leporidae,57,4,0.012878446,0.014388489,0.48137307,FALSE,FALSE,FALSE,FALSE,FALSE
Dasyproctidae,11,1,0.002485314,0.003597122,0.499314593,FALSE,FALSE,FALSE,FALSE,FALSE
Dasypodidae,29,2,0.006552192,0.007194245,0.544328049,FALSE,FALSE,FALSE,FALSE,FALSE
Nycteridae,13,1,0.002937189,0.003597122,0.558571912,FALSE,FALSE,FALSE,FALSE,FALSE
Herpestidae,32,2,0.007230005,0.007194245,0.597665124,FALSE,FALSE,FALSE,FALSE,FALSE
Didelphidae,87,5,0.019656575,0.017985612,0.639217182,FALSE,FALSE,FALSE,FALSE,FALSE
Pteropodidae,56,3,0.012652508,0.010791367,0.684131813,FALSE,FALSE,FALSE,FALSE,FALSE
Erinaceidae,20,1,0.004518753,0.003597122,0.716079248,FALSE,FALSE,FALSE,FALSE,FALSE
Atelidae,24,1,0.005422503,0.003597122,0.779433903,FALSE,FALSE,FALSE,FALSE,FALSE
Gliridae,27,1,0.006100316,0.003597122,0.817513995,FALSE,FALSE,FALSE,FALSE,FALSE
Dipodidae,51,2,0.01152282,0.007194245,0.830891995,FALSE,FALSE,FALSE,FALSE,FALSE
Spalacidae,36,1,0.008133755,0.003597122,0.896732239,FALSE,FALSE,FALSE,FALSE,FALSE
Bovidae,150,6,0.033890646,0.021582734,0.911390785,FALSE,FALSE,FALSE,FALSE,FALSE
Echimyidae,83,2,0.018752824,0.007194245,0.967293746,FALSE,FALSE,FALSE,FALSE,FALSE
Cebidae,56,1,0.012652508,0.003597122,0.970981991,FALSE,FALSE,FALSE,FALSE,FALSE
Heteromyidae,59,1,0.013330321,0.003597122,0.976025173,FALSE,FALSE,FALSE,FALSE,FALSE
Cercopithecidae,108,1,0.024401265,0.003597122,0.998959118,FALSE,FALSE,FALSE,FALSE,FALSE
Muridae,486,14,0.109805694,0.050359712,0.999840592,FALSE,FALSE,FALSE,FALSE,FALSE
Sciuridae,227,2,0.051287845,0.007194245,0.999992948,FALSE,FALSE,FALSE,FALSE,FALSE
Soricidae,322,4,0.07275192,0.014388489,0.999998503,FALSE,FALSE,FALSE,FALSE,FALSE
Cricetidae,640,12,0.14460009,0.043165468,0.999999991,FALSE,FALSE,FALSE,FALSE,FALSE
Galagidae,19,0,0.004292815,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Thryonomyidae,2,0,0.000451875,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Viverridae,33,0,0.007455942,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Nandiniidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Suidae,9,0,0.002033439,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Bathyergidae,16,0,0.003615002,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Nesomyidae,38,0,0.00858563,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Chrysochloridae,21,0,0.00474469,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Lorisidae,9,0,0.002033439,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Anomaluridae,7,0,0.001581563,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Hominidae,6,0,0.001355626,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Giraffidae,3,0,0.000677813,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Equidae,25,0,0.005648441,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Macroscelididae,15,0,0.003389065,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Tenrecidae,3,0,0.000677813,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Manidae,7,0,0.001581563,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Megadermatidae,5,0,0.001129688,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ctenodactylidae,5,0,0.001129688,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Orycteropodidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Pedetidae,2,0,0.000451875,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Tragulidae,7,0,0.001581563,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Petromuridae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Camelidae,13,0,0.002937189,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Dasyuridae,57,0,0.012878446,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Phalangeridae,8,0,0.001807501,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Pseudocheiridae,7,0,0.001581563,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Macropodidae,69,0,0.015589697,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Acrobatidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Peramelidae,8,0,0.001807501,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Petauridae,6,0,0.001355626,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Potoroidae,12,0,0.002711252,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Vombatidae,9,0,0.002033439,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Phascolarctidae,2,0,0.000451875,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Burramyidae,5,0,0.001129688,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Chaeropodidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Thylacomyidae,2,0,0.000451875,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Hypsiprymnodontidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Notoryctidae,2,0,0.000451875,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ornithorhynchidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Tachyglossidae,4,0,0.000903751,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Myrmecobiidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Tarsipedidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Thylacinidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Diprotodontidae,7,0,0.001581563,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Thylacoleonidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ochotonidae,30,0,0.006778129,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Talpidae,33,0,0.007455942,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Hylobatidae,12,0,0.002711252,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Moschidae,7,0,0.001581563,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Calomyscidae,8,0,0.001807501,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Platacanthomyidae,2,0,0.000451875,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Tupaiidae,6,0,0.001355626,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Tarsiidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ailuridae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ptilocercidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Craseonycteridae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Castoridae,4,0,0.000903751,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Cynocephalidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Stegodontidae,3,0,0.000677813,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Erethizontidae,16,0,0.003615002,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Geomyidae,42,0,0.009489381,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Antilocapridae,5,0,0.001129688,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Natalidae,2,0,0.000451875,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Aplodontiidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Gomphotheriidae,5,0,0.001129688,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Glyptodontidae,12,0,0.002711252,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Mammutidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Caviidae,21,0,0.00474469,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Mylodontidae,7,0,0.001581563,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Ctenomyidae,60,0,0.013556258,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Pitheciidae,40,0,0.009037506,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Octodontidae,13,0,0.002937189,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Chinchillidae,7,0,0.001581563,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Microbiotheriidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abrocomidae,10,0,0.002259376,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Caenolestidae,6,0,0.001355626,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Myocastoridae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Dinomyidae,1,0,0.000225938,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Macraucheniidae,2,0,0.000451875,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Toxodontidae,5,0,0.001129688,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
Nothrotheriidae,2,0,0.000451875,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
