"order","count","onMult","glob.proportion","onMult.proportion","p.value","signif","signif.bonferoni","signif.holm","signif.sidak","signif.holm.sidak"
"Chiroptera",957,302,0.201177212528905,0.537366548042705,2.80641466523554e-69,TRUE,TRUE,TRUE,TRUE,TRUE
"Carnivora",340,98,0.0714736178263611,0.174377224199288,3.54300006244608e-16,TRUE,TRUE,TRUE,TRUE,TRUE
"Pilosa",32,12,0.0067269287365987,0.0213523131672598,0.000535533757455138,TRUE,TRUE,TRUE,TRUE,TRUE
"Hyracoidea",5,2,0.00105108261509355,0.00355871886120996,0.118780879167414,FALSE,FALSE,FALSE,FALSE,FALSE
"Perissodactyla",43,6,0.0090393104898045,0.0106761565836299,0.398152708073894,FALSE,FALSE,FALSE,FALSE,FALSE
"Proboscidea",17,2,0.00357368089131806,0.00355871886120996,0.596751872925724,FALSE,FALSE,FALSE,FALSE,FALSE
"Didelphimorphia",92,10,0.0193399201177213,0.0177935943060498,0.647139152647209,FALSE,FALSE,FALSE,FALSE,FALSE
"Erinaceomorpha",21,2,0.00441454698339289,0.00355871886120996,0.709455898071406,FALSE,FALSE,FALSE,FALSE,FALSE
"Cingulata",43,4,0.0090393104898045,0.00711743772241993,0.747320286791858,FALSE,FALSE,FALSE,FALSE,FALSE
"Lagomorpha",91,8,0.0191297035947025,0.0142348754448399,0.842530840105288,FALSE,FALSE,FALSE,FALSE,FALSE
"Artiodactyla",269,24,0.0565482446920328,0.0427046263345196,0.939816854378705,FALSE,FALSE,FALSE,FALSE,FALSE
"Primates",285,8,0.0599117090603321,0.0142348754448399,0.999999985116517,FALSE,FALSE,FALSE,FALSE,FALSE
"Soricomorpha",359,8,0.0754677317637166,0.0142348754448399,0.999999999993219,FALSE,FALSE,FALSE,FALSE,FALSE
"Rodentia",1924,76,0.404456590287997,0.135231316725979,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Dasyuromorphia",60,0,0.0126129913811226,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Diprotodontia",127,0,0.0266974984233761,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Paucituberculata",6,0,0.00126129913811226,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Afrosoricida",24,0,0.00504519655244902,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Microbiotheria",1,0,0.000210216523018709,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Macroscelidea",15,0,0.00315324784528064,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Notoryctemorphia",2,0,0.000420433046037419,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Scandentia",7,0,0.00147151566113096,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Peramelemorphia",12,0,0.00252259827622451,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Dermoptera",1,0,0.000210216523018709,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Monotremata",5,0,0.00105108261509355,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Pholidota",7,0,0.00147151566113096,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Tubulidentata",1,0,0.000210216523018709,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Sirenia",4,0,0.000840866092074837,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Litopterna",2,0,0.000420433046037419,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
"Notoungulata",5,0,0.00105108261509355,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
