Binomial.1.2,Order.1.2,Family.1.2,current.range,present.natural.range,current.range.km2,present.natural.range.km2
Abditomys_latidens,Rodentia,Muridae,5,9,46561.84243321518,83811.31637978733
Abeomelomys_sevia,Rodentia,Muridae,10,10,93123.68486643035,93123.68486643035
Abrawayaomys_ruschii,Rodentia,Cricetidae,20,20,186247.3697328607,186247.3697328607
Abrocoma_bennettii,Rodentia,Abrocomidae,28,28,260746.317626005,260746.317626005
Abrocoma_boliviensis,Rodentia,Abrocomidae,1,1,9312.368486643036,9312.368486643036
Abrocoma_budini,Rodentia,Abrocomidae,2,2,18624.73697328607,18624.73697328607
Abrocoma_cinerea,Rodentia,Abrocomidae,82,82,763614.215904729,763614.215904729
Abrocoma_famatina,Rodentia,Abrocomidae,4,4,37249.47394657214,37249.47394657214
Abrocoma_shistacea,Rodentia,Abrocomidae,4,4,37249.47394657214,37249.47394657214
Abrocoma_uspallata,Rodentia,Abrocomidae,1,1,9312.368486643036,9312.368486643036
Abrocoma_vaccarum,Rodentia,Abrocomidae,1,1,9312.368486643036,9312.368486643036
Abrothrix_andinus,Rodentia,Cricetidae,103,103,959173.9541242326,959173.9541242326
Abrothrix_illutea,Rodentia,Cricetidae,12,12,111748.42183971644,111748.42183971644
Abrothrix_jelskii,Rodentia,Cricetidae,89,89,828800.7953112302,828800.7953112302
Abrothrix_lanosus,Rodentia,Cricetidae,17,17,158310.2642729316,158310.2642729316
Abrothrix_longipilis,Rodentia,Cricetidae,116,116,1080234.7444505922,1080234.7444505922
Abrothrix_olivaceus,Rodentia,Cricetidae,177,177,1648289.2221358174,1648289.2221358174
Abrothrix_sanborni,Rodentia,Cricetidae,12,12,111748.42183971644,111748.42183971644
Acinonyx_jubatus,Carnivora,Felidae,870,4269,8101760.583379441,39754501.06947912
Acomys_airensis,Rodentia,Muridae,238,238,2216343.6998210424,2216343.6998210424
Acomys_cahirinus,Rodentia,Muridae,534,534,4972804.771867381,4972804.771867381
Acomys_cilicicus,Rodentia,Muridae,1,1,9312.368486643036,9312.368486643036
Acomys_cineraceus,Rodentia,Muridae,166,166,1545853.1687827439,1545853.1687827439
Acomys_dimidiatus,Rodentia,Muridae,270,270,2514339.4913936197,2514339.4913936197
Acomys_ignitus,Rodentia,Muridae,22,22,204872.1067061468,204872.1067061468
Acomys_johannis,Rodentia,Muridae,73,73,679802.8995249416,679802.8995249416
Acomys_kempi,Rodentia,Muridae,91,91,847425.5322845163,847425.5322845163
Acomys_louisae,Rodentia,Muridae,109,109,1015048.165044091,1015048.165044091
Acomys_minous,Rodentia,Muridae,6,6,55874.21091985822,55874.21091985822
Acomys_mullah,Rodentia,Muridae,35,35,325932.89703250624,325932.89703250624
Acomys_nesiotes,Rodentia,Muridae,6,6,55874.21091985822,55874.21091985822
Acomys_percivali,Rodentia,Muridae,43,43,400431.8449256505,400431.8449256505
Acomys_russatus,Rodentia,Muridae,130,130,1210607.9032635947,1210607.9032635947
Acomys_seurati,Rodentia,Muridae,46,46,428368.95038557966,428368.95038557966
Acomys_spinosissimus,Rodentia,Muridae,247,247,2300155.0162008298,2300155.0162008298
Acomys_subspinosus,Rodentia,Muridae,17,17,158310.2642729316,158310.2642729316
Acomys_wilsoni,Rodentia,Muridae,186,186,1732100.5385156046,1732100.5385156046
Aconaemys_fuscus,Rodentia,Octodontidae,8,8,74498.94789314429,74498.94789314429
Aconaemys_porteri,Rodentia,Octodontidae,8,8,74498.94789314429,74498.94789314429
Aconaemys_sagei,Rodentia,Octodontidae,13,13,121060.79032635946,121060.79032635946
Acratocnus_odontrigonus,Pilosa,Megalonychidae,0,3,0,27937.10545992911
Acratocnus_ye,Pilosa,Megalonychidae,0,20,0,186247.3697328607
Acrobates_pygmaeus,Diprotodontia,Acrobatidae,198,204,1843848.9603553212,1899723.1712751794
Addax_nasomaculatus,Cetartiodactyla,Bovidae,24,153,223496.84367943287,1424792.3784563844
Aegialomys_galapagoensis,Rodentia,Cricetidae,1,2,9312.368486643036,18624.73697328607
Aegialomys_xanthaeolus,Rodentia,Cricetidae,66,66,614616.3201184403,614616.3201184403
Aepeomys_lugens,Rodentia,Cricetidae,7,7,65186.57940650125,65186.57940650125
Aepeomys_reigi,Rodentia,Cricetidae,3,3,27937.10545992911,27937.10545992911
Aepyceros_melampus,Cetartiodactyla,Bovidae,461,461,4293001.872342439,4293001.872342439
Aepyprymnus_rufescens,Diprotodontia,Potoroidae,95,127,884675.0062310884,1182670.7978036655
Aeretes_melanopterus,Rodentia,Sciuridae,17,17,158310.2642729316,158310.2642729316
Aeromys_tephromelas,Rodentia,Sciuridae,83,141,772926.5843913719,1313043.956616668
Aeromys_thomasi,Rodentia,Sciuridae,73,73,679802.8995249416,679802.8995249416
Aethomys_bocagei,Rodentia,Muridae,47,47,437681.3188722227,437681.3188722227
Aethomys_chrysophilus,Rodentia,Muridae,529,529,4926242.929434166,4926242.929434166
Aethomys_granti,Rodentia,Muridae,27,27,251433.94913936197,251433.94913936197
Aethomys_hindei,Rodentia,Muridae,316,316,2942708.4417791995,2942708.4417791995
Aethomys_ineptus,Rodentia,Muridae,84,84,782238.952878015,782238.952878015
Aethomys_kaiseri,Rodentia,Muridae,237,237,2207031.3313343995,2207031.3313343995
Aethomys_namaquensis,Rodentia,Muridae,417,417,3883257.658930146,3883257.658930146
Aethomys_nyikae,Rodentia,Muridae,126,126,1173358.4293170224,1173358.4293170224
Aethomys_silindensis,Rodentia,Muridae,9,9,83811.31637978733,83811.31637978733
Aethomys_stannarius,Rodentia,Muridae,26,26,242121.58065271893,242121.58065271893
Aethomys_thomasi,Rodentia,Muridae,47,47,437681.3188722227,437681.3188722227
Agalmaceros_blicki,Cetartiodactyla,Cervidae,0,80,0,744989.4789314428
Ailuropoda_melanoleuca,Carnivora,Ursidae,26,211,242121.58065271893,1964909.7506816806
Ailurops_melanotis,Diprotodontia,Phalangeridae,3,3,27937.10545992911,27937.10545992911
Ailurops_ursinus,Diprotodontia,Phalangeridae,53,53,493555.5297920809,493555.5297920809
Ailurus_fulgens,Carnivora,Ailuridae,84,137,782238.952878015,1275794.482670096
Akodon_aerosus,Rodentia,Cricetidae,46,46,428368.95038557966,428368.95038557966
Akodon_affinis,Rodentia,Cricetidae,14,14,130373.1588130025,130373.1588130025
Akodon_albiventer,Rodentia,Cricetidae,68,68,633241.0570917265,633241.0570917265
Akodon_aliquantulus,Rodentia,Cricetidae,1,1,9312.368486643036,9312.368486643036
Akodon_azarae,Rodentia,Cricetidae,171,171,1592415.0112159592,1592415.0112159592
Akodon_boliviensis,Rodentia,Cricetidae,45,45,419056.5818989366,419056.5818989366
Akodon_budini,Rodentia,Cricetidae,7,7,65186.57940650125,65186.57940650125
Akodon_cursor,Rodentia,Cricetidae,132,132,1229232.6402368806,1229232.6402368806
Akodon_dayi,Rodentia,Cricetidae,51,51,474930.79281879484,474930.79281879484
Akodon_dolores,Rodentia,Cricetidae,17,17,158310.2642729316,158310.2642729316
Akodon_fumeus,Rodentia,Cricetidae,36,36,335245.2655191493,335245.2655191493
Akodon_iniscatus,Rodentia,Cricetidae,89,89,828800.7953112302,828800.7953112302
Akodon_juninensis,Rodentia,Cricetidae,29,29,270058.68611264805,270058.68611264805
Akodon_kofordi,Rodentia,Cricetidae,9,9,83811.31637978733,83811.31637978733
Akodon_leucolimnaeus,Rodentia,Cricetidae,2,2,18624.73697328607,18624.73697328607
Akodon_lindberghi,Rodentia,Cricetidae,6,30,55874.21091985822,279371.05459929106
Akodon_lutescens,Rodentia,Cricetidae,34,34,316620.5285458632,316620.5285458632
Akodon_mimus,Rodentia,Cricetidae,19,19,176935.00124621767,176935.00124621767
Akodon_molinae,Rodentia,Cricetidae,70,70,651865.7940650125,651865.7940650125
Akodon_mollis,Rodentia,Cricetidae,52,52,484243.16130543785,484243.16130543785
Akodon_montensis,Rodentia,Cricetidae,147,147,1368918.1675365262,1368918.1675365262
Akodon_mystax,Rodentia,Cricetidae,3,3,27937.10545992911,27937.10545992911
Akodon_neocenus,Rodentia,Cricetidae,12,12,111748.42183971644,111748.42183971644
Akodon_oenos,Rodentia,Cricetidae,2,2,18624.73697328607,18624.73697328607
Akodon_orophilus,Rodentia,Cricetidae,14,14,130373.1588130025,130373.1588130025
Akodon_paranaensis,Rodentia,Cricetidae,53,53,493555.5297920809,493555.5297920809
Akodon_pervalens,Rodentia,Cricetidae,8,8,74498.94789314429,74498.94789314429
Akodon_philipmyersi,Rodentia,Cricetidae,1,1,9312.368486643036,9312.368486643036
Akodon_reigi,Rodentia,Cricetidae,13,13,121060.79032635946,121060.79032635946
Akodon_sanctipaulensis,Rodentia,Cricetidae,2,2,18624.73697328607,18624.73697328607
Akodon_serrensis,Rodentia,Cricetidae,55,55,512180.26676536695,512180.26676536695
Akodon_siberiae,Rodentia,Cricetidae,10,10,93123.68486643035,93123.68486643035
Akodon_simulator,Rodentia,Cricetidae,33,33,307308.16005922016,307308.16005922016
Akodon_spegazzinii,Rodentia,Cricetidae,16,16,148997.89578628857,148997.89578628857
Akodon_subfuscus,Rodentia,Cricetidae,39,39,363182.3709790784,363182.3709790784
Akodon_surdus,Rodentia,Cricetidae,5,5,46561.84243321518,46561.84243321518
Akodon_sylvanus,Rodentia,Cricetidae,14,14,130373.1588130025,130373.1588130025
Akodon_toba,Rodentia,Cricetidae,67,67,623928.6886050834,623928.6886050834
Akodon_torques,Rodentia,Cricetidae,19,19,176935.00124621767,176935.00124621767
Akodon_varius,Rodentia,Cricetidae,40,40,372494.7394657214,372494.7394657214
Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,952,1116,8865374.79928417,10392603.231093628
Alces_alces,Cetartiodactyla,Cervidae,2946,3398,27434237.561650384,31643428.117613036
Allactaga_balikunica,Rodentia,Dipodidae,48,48,446993.68735886575,446993.68735886575
Allactaga_bullata,Rodentia,Dipodidae,214,214,1992846.8561416096,1992846.8561416096
Allactaga_elater,Rodentia,Dipodidae,539,539,5019366.6143005965,5019366.6143005965
Allactaga_euphratica,Rodentia,Dipodidae,102,102,949861.5856375897,949861.5856375897
Allactaga_firouzi,Rodentia,Dipodidae,4,4,37249.47394657214,37249.47394657214
Allactaga_hotsoni,Rodentia,Dipodidae,74,74,689115.2680115846,689115.2680115846
Allactaga_major,Rodentia,Dipodidae,582,582,5419798.459226247,5419798.459226247
Allactaga_severtzovi,Rodentia,Dipodidae,150,150,1396855.2729964554,1396855.2729964554
Allactaga_sibirica,Rodentia,Dipodidae,740,740,6891152.680115847,6891152.680115847
Allactaga_tetradactyla,Rodentia,Dipodidae,18,21,167622.63275957466,195559.73821950375
Allactaga_vinogradovi,Rodentia,Dipodidae,24,24,223496.84367943287,223496.84367943287
