"Binomial.1.2","Order.1.2","Family.1.2","current.range.x","present.natural.range.x","current.range.km2","present.natural.range.km2","current.range.y","present.natural.range.y","current.range","present.natural.range"
"Abditomys_latidens","Rodentia","Muridae",5,9,46561.8424332152,83811.3163797873,5,9,5,9
"Abeomelomys_sevia","Rodentia","Muridae",10,10,93123.6848664304,93123.6848664304,10,10,10,10
"Abrawayaomys_ruschii","Rodentia","Cricetidae",20,20,186247.369732861,186247.369732861,20,20,20,20
"Abrocoma_bennettii","Rodentia","Abrocomidae",28,28,260746.317626005,260746.317626005,28,28,28,28
"Abrocoma_boliviensis","Rodentia","Abrocomidae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Abrocoma_budini","Rodentia","Abrocomidae",2,2,18624.7369732861,18624.7369732861,2,2,2,2
"Abrocoma_cinerea","Rodentia","Abrocomidae",82,82,763614.215904729,763614.215904729,82,82,82,82
"Abrocoma_famatina","Rodentia","Abrocomidae",4,4,37249.4739465721,37249.4739465721,4,4,4,4
"Abrocoma_shistacea","Rodentia","Abrocomidae",4,4,37249.4739465721,37249.4739465721,4,4,4,4
"Abrocoma_uspallata","Rodentia","Abrocomidae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Abrocoma_vaccarum","Rodentia","Abrocomidae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Abrothrix_andinus","Rodentia","Cricetidae",103,103,959173.954124233,959173.954124233,103,103,103,103
"Abrothrix_illutea","Rodentia","Cricetidae",12,12,111748.421839716,111748.421839716,12,12,12,12
"Abrothrix_jelskii","Rodentia","Cricetidae",89,89,828800.79531123,828800.79531123,89,89,89,89
"Abrothrix_lanosus","Rodentia","Cricetidae",17,17,158310.264272932,158310.264272932,17,17,17,17
"Abrothrix_longipilis","Rodentia","Cricetidae",116,116,1080234.74445059,1080234.74445059,116,116,116,116
"Abrothrix_olivaceus","Rodentia","Cricetidae",177,177,1648289.22213582,1648289.22213582,177,177,177,177
"Abrothrix_sanborni","Rodentia","Cricetidae",12,12,111748.421839716,111748.421839716,12,12,12,12
"Acinonyx_jubatus","Carnivora","Felidae",870,4269,8101760.58337944,39754501.0694791,870,4269,870,4269
"Acomys_airensis","Rodentia","Muridae",238,238,2216343.69982104,2216343.69982104,238,238,238,238
"Acomys_cahirinus","Rodentia","Muridae",534,534,4972804.77186738,4972804.77186738,534,534,534,534
"Acomys_cilicicus","Rodentia","Muridae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Acomys_cineraceus","Rodentia","Muridae",166,166,1545853.16878274,1545853.16878274,166,166,166,166
"Acomys_dimidiatus","Rodentia","Muridae",270,270,2514339.49139362,2514339.49139362,270,270,270,270
"Acomys_ignitus","Rodentia","Muridae",22,22,204872.106706147,204872.106706147,22,22,22,22
"Acomys_johannis","Rodentia","Muridae",73,73,679802.899524942,679802.899524942,73,73,73,73
"Acomys_kempi","Rodentia","Muridae",91,91,847425.532284516,847425.532284516,91,91,91,91
"Acomys_louisae","Rodentia","Muridae",109,109,1015048.16504409,1015048.16504409,109,109,109,109
"Acomys_minous","Rodentia","Muridae",6,6,55874.2109198582,55874.2109198582,6,6,6,6
"Acomys_mullah","Rodentia","Muridae",35,35,325932.897032506,325932.897032506,35,35,35,35
"Acomys_nesiotes","Rodentia","Muridae",6,6,55874.2109198582,55874.2109198582,6,6,6,6
"Acomys_percivali","Rodentia","Muridae",43,43,400431.844925651,400431.844925651,43,43,43,43
"Acomys_russatus","Rodentia","Muridae",130,130,1210607.90326359,1210607.90326359,130,130,130,130
"Acomys_seurati","Rodentia","Muridae",46,46,428368.95038558,428368.95038558,46,46,46,46
"Acomys_spinosissimus","Rodentia","Muridae",247,247,2300155.01620083,2300155.01620083,247,247,247,247
"Acomys_subspinosus","Rodentia","Muridae",17,17,158310.264272932,158310.264272932,17,17,17,17
"Acomys_wilsoni","Rodentia","Muridae",186,186,1732100.5385156,1732100.5385156,186,186,186,186
"Aconaemys_fuscus","Rodentia","Octodontidae",8,8,74498.9478931443,74498.9478931443,8,8,8,8
"Aconaemys_porteri","Rodentia","Octodontidae",8,8,74498.9478931443,74498.9478931443,8,8,8,8
"Aconaemys_sagei","Rodentia","Octodontidae",13,13,121060.790326359,121060.790326359,13,13,13,13
"Acratocnus_odontrigonus","Pilosa","Megalonychidae",0,3,0,27937.1054599291,0,3,0,3
"Acratocnus_ye","Pilosa","Megalonychidae",0,20,0,186247.369732861,0,20,0,20
"Acrobates_pygmaeus","Diprotodontia","Acrobatidae",198,204,1843848.96035532,1899723.17127518,198,204,198,204
"Addax_nasomaculatus","Cetartiodactyla","Bovidae",24,153,223496.843679433,1424792.37845638,24,153,24,153
"Aegialomys_galapagoensis","Rodentia","Cricetidae",1,2,9312.36848664304,18624.7369732861,1,2,1,2
"Aegialomys_xanthaeolus","Rodentia","Cricetidae",66,66,614616.32011844,614616.32011844,66,66,66,66
"Aepeomys_lugens","Rodentia","Cricetidae",7,7,65186.5794065013,65186.5794065013,7,7,7,7
"Aepeomys_reigi","Rodentia","Cricetidae",3,3,27937.1054599291,27937.1054599291,3,3,3,3
"Aepyceros_melampus","Cetartiodactyla","Bovidae",461,461,4293001.87234244,4293001.87234244,461,461,461,461
"Aepyprymnus_rufescens","Diprotodontia","Potoroidae",95,127,884675.006231088,1182670.79780367,95,127,95,127
"Aeretes_melanopterus","Rodentia","Sciuridae",17,17,158310.264272932,158310.264272932,17,17,17,17
"Aeromys_tephromelas","Rodentia","Sciuridae",83,141,772926.584391372,1313043.95661667,83,141,83,141
"Aeromys_thomasi","Rodentia","Sciuridae",73,73,679802.899524942,679802.899524942,73,73,73,73
"Aethomys_bocagei","Rodentia","Muridae",47,47,437681.318872223,437681.318872223,47,47,47,47
"Aethomys_chrysophilus","Rodentia","Muridae",529,529,4926242.92943417,4926242.92943417,529,529,529,529
"Aethomys_granti","Rodentia","Muridae",27,27,251433.949139362,251433.949139362,27,27,27,27
"Aethomys_hindei","Rodentia","Muridae",316,316,2942708.4417792,2942708.4417792,316,316,316,316
"Aethomys_ineptus","Rodentia","Muridae",84,84,782238.952878015,782238.952878015,84,84,84,84
"Aethomys_kaiseri","Rodentia","Muridae",237,237,2207031.3313344,2207031.3313344,237,237,237,237
"Aethomys_namaquensis","Rodentia","Muridae",417,417,3883257.65893015,3883257.65893015,417,417,417,417
"Aethomys_nyikae","Rodentia","Muridae",126,126,1173358.42931702,1173358.42931702,126,126,126,126
"Aethomys_silindensis","Rodentia","Muridae",9,9,83811.3163797873,83811.3163797873,9,9,9,9
"Aethomys_stannarius","Rodentia","Muridae",26,26,242121.580652719,242121.580652719,26,26,26,26
"Aethomys_thomasi","Rodentia","Muridae",47,47,437681.318872223,437681.318872223,47,47,47,47
