"family","order","n.mass","n.na","percent","avg.size"
"Abrocomidae","Rodentia",3,7,0.7,219.500666666667
"Acrobatidae","Diprotodontia",1,0,0,12
"Ailuridae","Carnivora",1,0,0,4900
"Anomaluridae","Rodentia",7,0,0,484.140285714286
"Antilocapridae","Artiodactyla",5,0,0,36816.5842
"Aotidae","Primates",9,0,0,872.048055555555
"Aplodontiidae","Rodentia",1,0,0,1003.991
"Atelidae","Primates",17,8,0.32,7085.51911764706
"Bathyergidae","Rodentia",14,2,0.125,199.6495
"Bovidae","Artiodactyla",144,12,0.0769230769230769,134255.979114583
"Bradypodidae","Pilosa",4,0,0,4104.99275
"Burramyidae","Diprotodontia",5,0,0,23.1
"Caenolestidae","Paucituberculata",5,1,0.166666666666667,29.98
"Calomyscidae","Rodentia",2,6,0.75,18.7
"Camelidae","Artiodactyla",13,0,0,454099.267615385
"Canidae","Carnivora",49,2,0.0392156862745098,11285.7576734694
"Castoridae","Rodentia",4,0,0,57703.61875
"Caviidae","Rodentia",18,3,0.142857142857143,19880.6466666667
"Cebidae","Primates",34,23,0.403508771929825,1382.11658823529
"Cercopithecidae","Primates",64,45,0.412844036697248,7884.511234375
"Cervidae","Artiodactyla",48,10,0.172413793103448,137620.869375
"Chaeropodidae","Peramelemorphia",1,0,0,200
"Chinchillidae","Rodentia",6,1,0.142857142857143,1834.4185
"Chrysochloridae","Afrosoricida",15,6,0.285714285714286,731.540733333333
"Craseonycteridae","Chiroptera",1,0,0,2.153
"Cricetidae","Rodentia",493,159,0.243865030674847,67.3235354969574
"Ctenodactylidae","Rodentia",5,0,0,204.6
"Ctenomyidae","Rodentia",42,18,0.3,279.147547619048
"Cuniculidae","Rodentia",3,0,0,8333.316
"Cyclopedidae","Pilosa",2,0,0,329.503
"Cynocephalidae","Dermoptera",1,0,0,1000
"Dasypodidae","Cingulata",30,1,0.032258064516129,42309.7660666667
"Dasyproctidae","Rodentia",12,0,0,2661.39975
"Dasyuridae","Dasyuromorphia",52,5,0.087719298245614,611.471730769231
"Didelphidae","Didelphimorphia",65,27,0.293478260869565,234.2592
"Dinomyidae","Rodentia",1,0,0,12500
"Dipodidae","Rodentia",30,23,0.433962264150943,67.9224867866667
"Diprotodontidae","Diprotodontia",7,0,0,714285.714285714
"Echimyidae","Rodentia",70,15,0.176470588235294,299.399992857143
"Elephantidae","Proboscidea",7,1,0.125,7280004.89657143
"Emballonuridae","Chiroptera",46,7,0.132075471698113,19.4627246376087
"Equidae","Perissodactyla",24,1,0.04,351362.37875
"Erethizontidae","Rodentia",14,2,0.125,2257.424
"Erinaceidae","Erinaceomorpha",15,6,0.285714285714286,433.9864
"Felidae","Carnivora",55,3,0.0517241379310345,67405.3788
