family;count;onMult;glob.proportion;onMult.proportion;p.value;signif;signif.bonferoni;signif.holm;signif.sidak;signif.holm.sidak
Phyllostomidae;146;64;0.0329868956168098;0.229390681003584;1.26255771078998e-34;TRUE;TRUE;TRUE;TRUE;TRUE
Molossidae;83;22;0.0187528242205151;0.0788530465949821;2.40328485899908e-08;TRUE;TRUE;TRUE;TRUE;TRUE
Emballonuridae;39;14;0.00881156800723001;0.0501792114695341;2.75076378906462e-07;TRUE;TRUE;TRUE;TRUE;TRUE
Felidae;42;14;0.00948938093086308;0.0501792114695341;6.56840267607501e-07;TRUE;TRUE;TRUE;TRUE;TRUE
Mormoopidae;5;5;0.00112968820605513;0.017921146953405;1.93341195007092e-05;TRUE;TRUE;TRUE;TRUE;TRUE
Procyonidae;14;5;0.00316312697695436;0.017921146953405;0.00210422287711353;TRUE;FALSE;FALSE;FALSE;FALSE
Mustelidae;53;10;0.0119746949841844;0.03584229390681;0.00222612995630421;TRUE;FALSE;FALSE;FALSE;FALSE
Canidae;42;8;0.00948938093086308;0.028673835125448;0.00565687976048677;TRUE;FALSE;FALSE;FALSE;FALSE
Noctilionidae;2;2;0.000451875282422052;0.00716845878136201;0.00728785826718936;TRUE;FALSE;FALSE;FALSE;FALSE
Thyropteridae;3;2;0.000677812923633077;0.00716845878136201;0.0157359725488755;TRUE;FALSE;FALSE;FALSE;FALSE
Myrmecophagidae;3;2;0.000677812923633077;0.00716845878136201;0.0157359725488755;TRUE;FALSE;FALSE;FALSE;FALSE
Rhinopomatidae;4;2;0.000903750564844103;0.00716845878136201;0.0268519719972097;TRUE;FALSE;FALSE;FALSE;FALSE
Hyaenidae;4;2;0.000903750564844103;0.00716845878136201;0.0268519719972097;TRUE;FALSE;FALSE;FALSE;FALSE
Tayassuidae;6;2;0.00135562584726615;0.00716845878136201;0.0556998623815314;FALSE;FALSE;FALSE;FALSE;FALSE
Cyclopedidae;1;1;0.000225937641211026;0.003584229390681;0.0610975799104189;FALSE;FALSE;FALSE;FALSE;FALSE
Rhinocerotidae;8;2;0.00180750112968821;0.00716845878136201;0.0913718735822641;FALSE;FALSE;FALSE;FALSE;FALSE
Furipteridae;2;1;0.000451875282422052;0.003584229390681;0.11847480629748;FALSE;FALSE;FALSE;FALSE;FALSE
Cuniculidae;2;1;0.000451875282422052;0.003584229390681;0.11847480629748;FALSE;FALSE;FALSE;FALSE;FALSE
Hippopotamidae;2;1;0.000451875282422052;0.003584229390681;0.11847480629748;FALSE;FALSE;FALSE;FALSE;FALSE
Hipposideridae;53;6;0.0119746949841844;0.021505376344086;0.120868674490935;FALSE;FALSE;FALSE;FALSE;FALSE
Bradypodidae;3;1;0.000677812923633077;0.003584229390681;0.172357453723132;FALSE;FALSE;FALSE;FALSE;FALSE
Megatheriidae;3;1;0.000677812923633077;0.003584229390681;0.172357453723132;FALSE;FALSE;FALSE;FALSE;FALSE
Vespertilionidae;330;25;0.0745594215996385;0.0896057347670251;0.196867573521951;FALSE;FALSE;FALSE;FALSE;FALSE
Procaviidae;4;1;0.000903750564844103;0.003584229390681;0.22295764177892;FALSE;FALSE;FALSE;FALSE;FALSE
Ursidae;15;2;0.00338906461816539;0.00716845878136201;0.244185545538382;FALSE;FALSE;FALSE;FALSE;FALSE
Megalonychidae;5;1;0.00112968820605513;0.003584229390681;0.27047465813518;FALSE;FALSE;FALSE;FALSE;FALSE
