"qtr.bin","null.N","cosmo.N","rangers.N","homies.N","prop.null","prop.homies","prop.rangers","prop.cosmo","p.homies","p.rangers","p.cosmo","signif.homies","signif.bonferoni.homies","signif.holm.homies","signif.sidak.homies","signif.holm.sidak.homies","signif.rangers","signif.bonferoni.rangers","signif.holm.rangers","signif.sidak.rangers","signif.holm.sidak.rangers","signif.cosmo","signif.bonferoni.cosmo","signif.holm.cosmo","signif.sidak.cosmo","signif.holm.sidak.cosmo"
"(5.25,5.5]",49,3,2,44,0.0111744583808438,0.0106822044185482,0.00769230769230769,0.5,0.82413802868883,1,2.72113679379279e-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"(3.5,3.75]",123,1,15,107,0.0280501710376283,0.025977178926924,0.0576923076923077,0.166666666666667,0.450208163475815,0.00786848710489128,0.15693106667856,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(2,2.25]",218,1,9,208,0.049714937286203,0.0504976936149551,0.0346153846153846,0.166666666666667,0.801882382720638,0.317681645497807,0.263583659603289,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(1,1.25]",273,1,41,231,0.0622576966932725,0.056081573197378,0.157692307692308,0.166666666666667,0.106794262430937,4.70038493829172e-08,0.320012311435232,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"(6.25,6.5]",7,0,1,6,0.0015963511972634,0.00145666423889294,0.00384615384615385,0,1,0.339912546940183,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(0.75,1]",258,0,31,227,0.0588369441277081,0.0551104637047827,0.119230769230769,0,0.320662976293146,0.000186178444363594,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"(0.5,0.75]",121,0,16,105,0.027594070695553,0.0254916241806264,0.0615384615384615,0,0.446449688082873,0.00331797455762307,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(2.5,2.75]",143,0,1,142,0.0326111744583808,0.0344743869871328,0.00384615384615385,0,0.482863990656645,0.00421814265343578,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(1.25,1.5]",343,0,31,312,0.0782212086659065,0.0757465404224326,0.119230769230769,0,0.581407359916711,0.0200509928713176,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(2.25,2.5]",226,0,6,220,0.051539338654504,0.053411022092741,0.0230769230769231,0,0.572914382166392,0.0345049772763554,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(1.75,2]",332,0,11,321,0.0757126567844926,0.077931536780772,0.0423076923076923,0,0.575859941560067,0.0450346603944174,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(4.5,4.75]",58,0,7,51,0.0132269099201824,0.0123816460305899,0.0269230769230769,0,0.682618561257862,0.0907995683525339,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(5,5.25]",44,0,0,44,0.0100342075256556,0.0106822044185482,0,0,0.638972639950313,0.121452985958025,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(0.25,0.5]",17,0,2,15,0.00387685290763968,0.00364166059723234,0.00769230769230769,0,1,0.267182659914156,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(6.5,6.75]",6,0,1,5,0.00136830102622577,0.00121388686574411,0.00384615384615385,0,1,0.299528697541715,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
