"order","n.mass","n.na","percent","avg.size"
"Afrosoricida",18,6,0.25,655.622555555556
"Artiodactyla",226,29,0.113725490196078,150568.577564159
"Carnivora",225,19,0.0778688524590164,29658.8240790314
"Chiroptera",532,250,0.319693094629156,30.9061801378383
"Cingulata",39,2,0.0487804878048781,282699.467846154
"Dasyuromorphia",55,5,0.0833333333333333,1386.69145454545
"Dermoptera",1,0,0,1000
"Didelphimorphia",61,26,0.298850574712644,201.757131147541
"Diprotodontia",113,13,0.103174603174603,74989.7920353982
"Erinaceomorpha",13,6,0.315789473684211,435.061923076923
"Hyracoidea",3,0,0,2943.32866666667
"Lagomorpha",58,29,0.333333333333333,1691.74215517241
"Litopterna",2,0,0,844000
"Macroscelidea",14,1,0.0666666666666667,151.321285714286
"Microbiotheria",1,0,0,22.3
"Monotremata",5,0,0,11224.75
"Notoryctemorphia",2,0,0,44.5
"Notoungulata",5,0,0,1168400
"Paucituberculata",5,1,0.166666666666667,29.98
"Peramelemorphia",12,0,0,10281.25
"Perissodactyla",39,1,0.025,651886.533064103
"Pholidota",7,0,0,8388.754
"Pilosa",25,1,0.0384615384615385,1099415.3066
"Primates",172,110,0.390070921985816,5588.30466860465
"Proboscidea",14,2,0.125,6622645.30542857
"Rodentia",1424,450,0.240128068303095,736.289655444747
"Scandentia",6,1,0.142857142857143,113.583333333333
"Soricomorpha",238,117,0.329577464788732,21.3209228494118
"Tubulidentata",1,0,0,52350.399
