diet.breadth,null.N,prop.null,homies.N,prop.homies,p.homies,signif.homies,signif.bonferoni.homies,signif.holm.homies,signif.sidak.homies,signif.holm.sidak.homies
1,2465,0.562015504,2288,0.555339806,0.387891744,FALSE,FALSE,FALSE,FALSE,FALSE
2,1737,0.396032832,1653,0.401213592,0.50352675,FALSE,FALSE,FALSE,FALSE,FALSE
3,184,0.041951664,179,0.043446602,0.613512504,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,
,,,,,,,,,,
diet.breadth,null.N,prop.null,limited.N,prop.lim,p.lim,signif.lim,signif.bonferoni.lim,signif.holm.lim,signif.sidak.lim,signif.holm.sidak.lim
1,2465,0.562015504,174,0.669230769,0.000451664,TRUE,TRUE,TRUE,TRUE,TRUE
2,1737,0.396032832,81,0.311538462,0.005218366,TRUE,TRUE,TRUE,TRUE,TRUE
3,184,0.041951664,5,0.019230769,0.085549617,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,
,,,,,,,,,,
diet.breadth,null.N,prop.null,trotter.N,prop.trot,p.trot,signif.trot,signif.bonferoni.trot,signif.holm.trot,signif.sidak.trot,signif.holm.sidak.trot
1,2465,0.562015504,3,0.5,1,FALSE,FALSE,FALSE,FALSE,FALSE
2,1737,0.396032832,3,0.5,0.686954861,FALSE,FALSE,FALSE,FALSE,FALSE
3,184,0.041951664,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
