diet,null.N,prop.null,homies.N,prop.homies,p.homies,signif.homies,signif.bonferoni.homies,signif.holm.homies,signif.sidak.homies,signif.holm.sidak.homies
diet.carnivore.tot,328,0.074783402,276,0.066990291,0.057996947,FALSE,FALSE,FALSE,FALSE,FALSE
diet.frugivore.tot,1933,0.440720474,1836,0.445631068,0.530277815,FALSE,FALSE,FALSE,FALSE,FALSE
diet.browser.tot,1620,0.369357045,1576,0.382524272,0.081305481,FALSE,FALSE,FALSE,FALSE,FALSE
diet.grazer.tot,614,0.13999088,594,0.144174757,0.432074782,FALSE,FALSE,FALSE,FALSE,FALSE
diet.invertivore.tot,1967,0.448472412,1824,0.442718447,0.461666443,FALSE,FALSE,FALSE,FALSE,FALSE
diet.piscivore.tot,29,0.006611947,25,0.006067961,0.7726492,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,
,,,,,,,,,,
diet,null.N,prop.null,limited.N,prop.lim,p.lim,signif.lim,signif.bonferoni.lim,signif.holm.lim,signif.sidak.lim,signif.holm.sidak.lim
diet.carnivore.tot,328,0.074783402,48,0.184615385,7.76E-09,TRUE,TRUE,TRUE,TRUE,TRUE
diet.frugivore.tot,1933,0.440720474,96,0.369230769,0.020787375,TRUE,FALSE,TRUE,FALSE,FALSE
diet.browser.tot,1620,0.369357045,43,0.165384615,6.53E-13,TRUE,TRUE,TRUE,TRUE,TRUE
diet.grazer.tot,614,0.13999088,20,0.076923077,0.002272006,TRUE,TRUE,TRUE,TRUE,TRUE
diet.invertivore.tot,1967,0.448472412,140,0.538461538,0.004052624,TRUE,TRUE,TRUE,TRUE,TRUE
diet.piscivore.tot,29,0.006611947,4,0.015384615,0.095422224,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,
,,,,,,,,,,
diet,null.N,prop.null,trotter.N,prop.trot,p.trot,signif.trot,signif.bonferoni.trot,signif.holm.trot,signif.sidak.trot,signif.holm.sidak.trot
diet.carnivore.tot,328,0.074783402,4,0.666666667,0.000414764,TRUE,TRUE,TRUE,TRUE,TRUE
diet.frugivore.tot,1933,0.440720474,1,0.166666667,0.238423551,FALSE,FALSE,FALSE,FALSE,FALSE
diet.browser.tot,1620,0.369357045,1,0.166666667,0.423551572,FALSE,FALSE,FALSE,FALSE,FALSE
diet.grazer.tot,614,0.13999088,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
diet.invertivore.tot,1967,0.448472412,3,0.5,1,FALSE,FALSE,FALSE,FALSE,FALSE
diet.piscivore.tot,29,0.006611947,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
