"family","null.N","cosmo.N","rangers.N","homies.N","prop.null","prop.homies","prop.rangers","prop.cosmo","p.homies","p.rangers","p.cosmo","signif.homies","signif.bonferoni.homies","signif.holm.homies","signif.sidak.homies","signif.holm.sidak.homies","signif.rangers","signif.bonferoni.rangers","signif.holm.rangers","signif.sidak.rangers","signif.holm.sidak.rangers","signif.cosmo","signif.bonferoni.cosmo","signif.holm.cosmo","signif.sidak.cosmo","signif.holm.sidak.cosmo"
"Ursidae",15,1,1,13,0.00342075256556442,0.00315610585093469,0.00384615384615385,0.166666666666667,0.893861013585356,0.589722018894885,0.0203497906825943,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Felidae",42,1,13,28,0.00957810718358039,0.00679776644816703,0.05,0.166666666666667,0.0657370456542908,1.87154673068613e-06,0.0561099892196335,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Canidae",42,1,7,34,0.00957810718358039,0.00825443068705997,0.0269230769230769,0.166666666666667,0.423854397135476,0.013459022509823,0.0561099892196335,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mustelidae",50,1,8,41,0.0114025085518814,0.00995387229910172,0.0307692307692308,0.166666666666667,0.419566640770482,0.0106870449691625,0.0664941913243744,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cervidae",53,1,3,49,0.0120866590649943,0.0118960912842923,0.0115384615384615,0.166666666666667,1,1,0.0703636400560126,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vespertilionidae",330,1,24,305,0.0752565564424173,0.0740470988103909,0.0923076923076923,0.166666666666667,0.790430612801444,0.289359770879102,0.374643648633865,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cricetidae",629,0,11,618,0.143443557582668,0.150036416605972,0.0423076923076923,0,0.230025280629996,1.86916661151017e-07,0.603162936235283,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Elephantidae",7,0,1,6,0.0015963511972634,0.00145666423889294,0.00384615384615385,0,1,0.339912546940183,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Hystricidae",7,0,1,6,0.0015963511972634,0.00145666423889294,0.00384615384615385,0,1,0.339912546940183,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Tapiridae",7,0,1,6,0.0015963511972634,0.00145666423889294,0.00384615384615385,0,1,0.339912546940183,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Galagidae",19,0,0,19,0.00433295324971494,0.00461277008982763,0,0,0.721741348144598,0.634137437350788,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Camelidae",13,0,0,13,0.00296465222348917,0.00315610585093469,0,0,0.77336501775337,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Octodontidae",13,0,0,13,0.00296465222348917,0.00315610585093469,0,0,0.77336501775337,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
