"family.origin","per","value","family.origin.per"
"Africa","per.stay",6.46319569120287,"Africa.per.stay"
"Australia","per.stay",6.13405146618791,"Australia.per.stay"
"Eurasia","per.stay",17.6540993417116,"Eurasia.per.stay"
"North.America","per.stay",5.86475164572113,"North.America.per.stay"
"South.America","per.stay",16.1280670257331,"South.America.per.stay"
"Africa","per.leave",2.48354278874925,"Africa.per.leave"
"Australia","per.leave",0,"Australia.per.leave"
"Eurasia","per.leave",32.4955116696589,"Eurasia.per.leave"
"North.America","per.leave",11.6995810891682,"North.America.per.leave"
"South.America","per.leave",1.07719928186715,"South.America.per.leave"
