"order","family","genus","species","binomial","diet.invertivore.tot","diet.carnivore.tot","diet.browser.tot","diet.grazer.tot","diet.piscivore.tot","diet.frugivore.tot","avg.mass","n.cont","iucn","continent.Africa","continent.North.America","continent.South.America","continent.Eurasia","continent.Australia","diet.breadth"
"Rodentia","Muridae","Mus","musculus","Mus musculus",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,16.5,3,NA,FALSE,TRUE,TRUE,FALSE,TRUE,2
"Soricomorpha","Soricidae","Suncus","murinus","Suncus murinus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,86.65,1,"LC",TRUE,FALSE,FALSE,FALSE,FALSE,1
"Rodentia","Muridae","Rattus","rattus","Rattus rattus",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,280,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,3
"Rodentia","Muridae","Rattus","norvegicus","Rattus norvegicus",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,320,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,3
"Lagomorpha","Leporidae","Oryctolagus","cuniculus","Oryctolagus cuniculus",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1580,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,2
"Carnivora","Canidae","Vulpes","vulpes","Vulpes vulpes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5950,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,2
"Carnivora","Canidae","Canis","lupus","Canis lupus",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16800,1,"LC",FALSE,FALSE,FALSE,FALSE,TRUE,1
"Artiodactyla","Bovidae","Capra","hircus","Capra hircus",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,33500,2,NA,FALSE,TRUE,FALSE,FALSE,TRUE,2
"Artiodactyla","Cervidae","Axis","porcinus","Axis porcinus",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,35000,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1
"Artiodactyla","Bovidae","Bubalus","bubalis","Bubalus bubalis",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,431250,3,NA,TRUE,FALSE,TRUE,FALSE,TRUE,1
"Artiodactyla","Cervidae","Dama","dama","Dama dama",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,48500,3,NA,TRUE,FALSE,TRUE,FALSE,TRUE,1
"Artiodactyla","Cervidae","Rusa","timorensis","Rusa timorensis",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,63000,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1
"Artiodactyla","Cervidae","Axis","axis","Axis axis",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,69500,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1
"Artiodactyla","Suidae","Sus","scrofa","Sus scrofa",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,86250,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,2
"Artiodactyla","Cervidae","Cervus","elaphus","Cervus elaphus",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,119500,1,"LC",FALSE,FALSE,FALSE,FALSE,TRUE,1
"Perissodactyla","Equidae","Equus","asinus","Equus asinus",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,325000,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1
"Artiodactyla","Bovidae","Bos","javanicus","Bos javanicus",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,475000,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1
"Artiodactyla","Camelidae","Camelus","dromedarius","Camelus dromedarius",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,8e+05,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE,2
"Artiodactyla","Bovidae","Bos","taurus","Bos taurus",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9e+05,2,NA,TRUE,FALSE,FALSE,TRUE,FALSE,1
"Artiodactyla","Bovidae","Ovis","aries","Ovis aries",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3,NA,TRUE,TRUE,TRUE,FALSE,FALSE,1
"Lagomorpha","Leporidae","Lepus","europaeus","Lepus europaeus",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,3,"",FALSE,TRUE,TRUE,FALSE,TRUE,2
"Artiodactyla","Cervidae","Odocoileus","virginianus","Odocoileus virginianus",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1,"LC",FALSE,FALSE,FALSE,TRUE,FALSE,1
"Rodentia","Sciuridae","Sciurus","carolinensis","Sciurus carolinensis",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,3,"LC",TRUE,FALSE,FALSE,TRUE,TRUE,1
"Carnivora","Mustelidae","Neovison","vison","Neovison vison",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,1,"LC",FALSE,FALSE,FALSE,TRUE,FALSE,2
"Artiodactyla","Cervidae","Rusa","unicolor","Rusa unicolor",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1,"VU",FALSE,FALSE,FALSE,FALSE,TRUE,1
"Carnivora","Felidae","Felis","catus","Felis catus",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,5,NA,TRUE,TRUE,TRUE,TRUE,TRUE,1
"Rodentia","Castoridae","Castor","canadensis","Castor canadensis",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,2,"LC",FALSE,FALSE,TRUE,TRUE,FALSE,1
"Carnivora","Procyonidae","Procyon","lotor","Procyon lotor",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,1,"LC",FALSE,FALSE,FALSE,TRUE,FALSE,2
"Perissodactyla","Equidae","Equus","caballus","Equus caballus",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3,"",FALSE,FALSE,TRUE,TRUE,TRUE,1
