"","order","null.N","trotter.N","limited.N","homies.N","prop.null","prop.end","prop.lim","prop.trot","p.end","p.lim","p.trot","signif.end","signif.bonferoni.end","signif.holm.end","signif.sidak.end","signif.holm.sidak.end","signif.lim","signif.bonferoni.lim","signif.holm.lim","signif.sidak.lim","signif.holm.sidak.lim","signif.trot","signif.bonferoni.trot","signif.holm.trot","signif.sidak.trot","signif.holm.sidak.trot"
"1","Carnivora",245,4,39,202,0.055859553123575,0.0490291262135922,0.15,0.666666666666667,0.0574040473952641,2.28876785086779e-08,0.000133294267724393,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2","Rodentia",1874,0,36,1838,0.427268581851345,0.446116504854369,0.138461538461538,0,0.0146542436665416,9.70014191624795e-24,0.041378651598276,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"3","Artiodactyla",255,1,12,242,0.0581395348837209,0.0587378640776699,0.0461538461538462,0.166666666666667,0.867776637904484,0.506652275413125,0.301897158364646,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","Peramelemorphia",12,0,0,12,0.0027359781121751,0.0029126213592233,0,0,0.764630971302568,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Chiroptera",782,1,142,639,0.178294573643411,0.155097087378641,0.546153846153846,0.166666666666667,8.50354370368046e-05,1.46361280289732e-40,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","Soricomorpha",355,0,4,351,0.0809393524851801,0.0851941747572816,0.0153846153846154,0,0.317412387881825,6.67071498469711e-06,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","Primates",282,0,4,278,0.0642954856361149,0.0674757281553398,0.0153846153846154,0,0.408833634029586,0.000327298552290551,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Diprotodontia",126,0,0,126,0.0287277701778386,0.0305825242718447,0,0,0.455711191245257,0.00112154180725424,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Pilosa",26,0,6,20,0.00592795257637939,0.00485436893203883,0.0230769230769231,0,0.417247350733103,0.00490898387547109,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Dasyuromorphia",60,0,0,60,0.0136798905608755,0.0145631067961165,0,0,0.591665083067885,0.0558676629859782,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
